Date : 2025-03-18 20:31:16
Directory : c:\Users\LWSte\Documents\GitHub\LifeFlowDring
Total : 193 files,  9367 codes, 607 comments, 2116 blanks, all 12090 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| c:\Users\LWSte\Documents\GitHub\LifeFlowDring\life-flow-main\backup\key.json                              | JSON               |          3 |          0 |          1 |          4 |
| c:\Users\LWSte\Documents\GitHub\LifeFlowDring\life-flow-main\backup\lflowalerts.py                        | Python             |         67 |          7 |         14 |         88 |
| c:\Users\LWSte\Documents\GitHub\LifeFlowDring\life-flow-main\backup\main.py                               | Python             |         68 |          6 |         20 |         94 |
| c:\Users\LWSte\Documents\GitHub\LifeFlowDring\life-flow-main\backup\settings.json                         | JSON with Comments |         12 |          0 |          0 |         12 |
| c:\Users\LWSte\Documents\GitHub\LifeFlowDring\life-flow-main\backup\web\about\index.html                  | HTML               |         49 |          1 |          5 |         55 |
| c:\Users\LWSte\Documents\GitHub\LifeFlowDring\life-flow-main\backup\web\about\script.js                   | JavaScript         |          0 |          0 |          1 |          1 |
| c:\Users\LWSte\Documents\GitHub\LifeFlowDring\life-flow-main\backup\web\about\style.css                   | CSS                |         20 |          0 |          1 |         21 |
| c:\Users\LWSte\Documents\GitHub\LifeFlowDring\life-flow-main\backup\web\emergency\countdown.js            | JavaScript         |         10 |          0 |          1 |         11 |
| c:\Users\LWSte\Documents\GitHub\LifeFlowDring\life-flow-main\backup\web\emergency\emergency.html          | HTML               |         46 |          1 |          6 |         53 |
| c:\Users\LWSte\Documents\GitHub\LifeFlowDring\life-flow-main\backup\web\emergency\index.html              | HTML               |         49 |          1 |          6 |         56 |
| c:\Users\LWSte\Documents\GitHub\LifeFlowDring\life-flow-main\backup\web\emergency\script.js               | JavaScript         |          2 |          0 |          0 |          2 |
| c:\Users\LWSte\Documents\GitHub\LifeFlowDring\life-flow-main\backup\web\emergency\style.css               | CSS                |         22 |          0 |          0 |         22 |
| c:\Users\LWSte\Documents\GitHub\LifeFlowDring\life-flow-main\backup\web\events.js                         | JavaScript         |          8 |          0 |          2 |         10 |
| c:\Users\LWSte\Documents\GitHub\LifeFlowDring\life-flow-main\backup\web\global\clock.js                   | JavaScript         |         10 |          3 |          3 |         16 |
| c:\Users\LWSte\Documents\GitHub\LifeFlowDring\life-flow-main\backup\web\global\fade\fade.js               | JavaScript         |         11 |          0 |          2 |         13 |
| c:\Users\LWSte\Documents\GitHub\LifeFlowDring\life-flow-main\backup\web\global\global.css                 | CSS                |        215 |          5 |         25 |        245 |
| c:\Users\LWSte\Documents\GitHub\LifeFlowDring\life-flow-main\backup\web\global\keyboard\keyboard.js       | JavaScript         |        194 |          9 |         48 |        251 |
| c:\Users\LWSte\Documents\GitHub\LifeFlowDring\life-flow-main\backup\web\global\rotatingwelcome.js         | JavaScript         |         19 |          1 |          3 |         23 |
| c:\Users\LWSte\Documents\GitHub\LifeFlowDring\life-flow-main\backup\web\home\index.html                   | HTML               |         49 |          1 |         11 |         61 |
| c:\Users\LWSte\Documents\GitHub\LifeFlowDring\life-flow-main\backup\web\home\script.js                    | JavaScript         |          0 |          0 |          1 |          1 |
| c:\Users\LWSte\Documents\GitHub\LifeFlowDring\life-flow-main\backup\web\home\style.css                    | CSS                |         11 |          0 |          0 |         11 |
| c:\Users\LWSte\Documents\GitHub\LifeFlowDring\life-flow-main\backup\web\index.html                        | HTML               |         56 |          0 |         16 |         72 |
| c:\Users\LWSte\Documents\GitHub\LifeFlowDring\life-flow-main\backup\web\load-redirect.html                | HTML               |         28 |          0 |          5 |         33 |
| c:\Users\LWSte\Documents\GitHub\LifeFlowDring\life-flow-main\backup\web\old.html                          | HTML               |         49 |          2 |         14 |         65 |
| c:\Users\LWSte\Documents\GitHub\LifeFlowDring\life-flow-main\backup\web\register\final.html               | HTML               |         42 |          6 |          8 |         56 |
| c:\Users\LWSte\Documents\GitHub\LifeFlowDring\life-flow-main\backup\web\register\index.html               | HTML               |         55 |          6 |          9 |         70 |
| c:\Users\LWSte\Documents\GitHub\LifeFlowDring\life-flow-main\backup\web\register\script.js                | JavaScript         |         16 |          1 |          5 |         22 |
| c:\Users\LWSte\Documents\GitHub\LifeFlowDring\life-flow-main\backup\web\register\setup\1.html             | HTML               |         54 |          0 |         11 |         65 |
| c:\Users\LWSte\Documents\GitHub\LifeFlowDring\life-flow-main\backup\web\register\setup\2.html             | HTML               |         54 |          0 |         11 |         65 |
| c:\Users\LWSte\Documents\GitHub\LifeFlowDring\life-flow-main\backup\web\register\setup\3.html             | HTML               |         54 |          0 |         11 |         65 |
| c:\Users\LWSte\Documents\GitHub\LifeFlowDring\life-flow-main\backup\web\register\setup\4.html             | HTML               |         54 |          0 |         11 |         65 |
| c:\Users\LWSte\Documents\GitHub\LifeFlowDring\life-flow-main\backup\web\register\setup\5.html             | HTML               |         55 |          0 |         11 |         66 |
| c:\Users\LWSte\Documents\GitHub\LifeFlowDring\life-flow-main\backup\web\register\setup\6.html             | HTML               |         55 |          0 |         11 |         66 |
| c:\Users\LWSte\Documents\GitHub\LifeFlowDring\life-flow-main\backup\web\register\setup\script.js          | JavaScript         |          7 |          1 |          1 |          9 |
| c:\Users\LWSte\Documents\GitHub\LifeFlowDring\life-flow-main\backup\web\register\setup\style.css          | CSS                |         16 |          0 |          1 |         17 |
| c:\Users\LWSte\Documents\GitHub\LifeFlowDring\life-flow-main\backup\web\register\style.css                | CSS                |         38 |          0 |          0 |         38 |
| c:\Users\LWSte\Documents\GitHub\LifeFlowDring\life-flow-main\backup\web\reminders\index.html              | HTML               |         72 |          1 |          7 |         80 |
| c:\Users\LWSte\Documents\GitHub\LifeFlowDring\life-flow-main\backup\web\reminders\script.js               | JavaScript         |          0 |          0 |          1 |          1 |
| c:\Users\LWSte\Documents\GitHub\LifeFlowDring\life-flow-main\backup\web\reminders\style.css               | CSS                |         20 |          0 |          1 |         21 |
| c:\Users\LWSte\Documents\GitHub\LifeFlowDring\life-flow-main\backup\web\script.js                         | JavaScript         |          0 |          0 |          1 |          1 |
| c:\Users\LWSte\Documents\GitHub\LifeFlowDring\life-flow-main\backup\web\sensor\index.html                 | HTML               |         58 |          1 |          6 |         65 |
| c:\Users\LWSte\Documents\GitHub\LifeFlowDring\life-flow-main\backup\web\sensor\module\s-heart.html        | HTML               |         63 |          1 |          9 |         73 |
| c:\Users\LWSte\Documents\GitHub\LifeFlowDring\life-flow-main\backup\web\sensor\module\s-oxygen.html       | HTML               |         63 |          1 |          9 |         73 |
| c:\Users\LWSte\Documents\GitHub\LifeFlowDring\life-flow-main\backup\web\sensor\module\s-temp.html         | HTML               |         63 |          1 |          9 |         73 |
| c:\Users\LWSte\Documents\GitHub\LifeFlowDring\life-flow-main\backup\web\sensor\module\style.css           | CSS                |         49 |          0 |         12 |         61 |
| c:\Users\LWSte\Documents\GitHub\LifeFlowDring\life-flow-main\backup\web\sensor\script.js                  | JavaScript         |          0 |          0 |          1 |          1 |
| c:\Users\LWSte\Documents\GitHub\LifeFlowDring\life-flow-main\backup\web\sensor\style.css                  | CSS                |         68 |          0 |          5 |         73 |
| c:\Users\LWSte\Documents\GitHub\LifeFlowDring\life-flow-main\backup\web\settings\accessibility\index.html | HTML               |         47 |          6 |         12 |         65 |
| c:\Users\LWSte\Documents\GitHub\LifeFlowDring\life-flow-main\backup\web\settings\accessibility\script.js  | JavaScript         |         28 |          2 |          9 |         39 |
| c:\Users\LWSte\Documents\GitHub\LifeFlowDring\life-flow-main\backup\web\settings\accessibility\style.css  | CSS                |          0 |          0 |          1 |          1 |
| c:\Users\LWSte\Documents\GitHub\LifeFlowDring\life-flow-main\backup\web\settings\contacts\1.html          | HTML               |         51 |          6 |          8 |         65 |
| c:\Users\LWSte\Documents\GitHub\LifeFlowDring\life-flow-main\backup\web\settings\contacts\2.html          | HTML               |         51 |          6 |          8 |         65 |
| c:\Users\LWSte\Documents\GitHub\LifeFlowDring\life-flow-main\backup\web\settings\contacts\3.html          | HTML               |         51 |          6 |          8 |         65 |
| c:\Users\LWSte\Documents\GitHub\LifeFlowDring\life-flow-main\backup\web\settings\contacts\index.html      | HTML               |         56 |          6 |         10 |         72 |
| c:\Users\LWSte\Documents\GitHub\LifeFlowDring\life-flow-main\backup\web\settings\contacts\script.js       | JavaScript         |         15 |          1 |          6 |         22 |
| c:\Users\LWSte\Documents\GitHub\LifeFlowDring\life-flow-main\backup\web\settings\contacts\style.css       | CSS                |          6 |          0 |          0 |          6 |
| c:\Users\LWSte\Documents\GitHub\LifeFlowDring\life-flow-main\backup\web\settings\general\index.html       | HTML               |         46 |          6 |         11 |         63 |
| c:\Users\LWSte\Documents\GitHub\LifeFlowDring\life-flow-main\backup\web\settings\general\script.js        | JavaScript         |         32 |          2 |         10 |         44 |
| c:\Users\LWSte\Documents\GitHub\LifeFlowDring\life-flow-main\backup\web\settings\general\style.css        | CSS                |          0 |          0 |          1 |          1 |
| c:\Users\LWSte\Documents\GitHub\LifeFlowDring\life-flow-main\backup\web\settings\index.html               | HTML               |         49 |          6 |         11 |         66 |
| c:\Users\LWSte\Documents\GitHub\LifeFlowDring\life-flow-main\backup\web\settings\info\1.html              | HTML               |         51 |          6 |          8 |         65 |
| c:\Users\LWSte\Documents\GitHub\LifeFlowDring\life-flow-main\backup\web\settings\info\2.html              | HTML               |         51 |          6 |          8 |         65 |
| c:\Users\LWSte\Documents\GitHub\LifeFlowDring\life-flow-main\backup\web\settings\info\3.html              | HTML               |         51 |          6 |          8 |         65 |
| c:\Users\LWSte\Documents\GitHub\LifeFlowDring\life-flow-main\backup\web\settings\info\index.html          | HTML               |         56 |          7 |         11 |         74 |
| c:\Users\LWSte\Documents\GitHub\LifeFlowDring\life-flow-main\backup\web\settings\info\script.js           | JavaScript         |         16 |          1 |          5 |         22 |
| c:\Users\LWSte\Documents\GitHub\LifeFlowDring\life-flow-main\backup\web\settings\info\style.css           | CSS                |          3 |          0 |          0 |          3 |
| c:\Users\LWSte\Documents\GitHub\LifeFlowDring\life-flow-main\backup\web\settings\script.js                | JavaScript         |         27 |          2 |          7 |         36 |
| c:\Users\LWSte\Documents\GitHub\LifeFlowDring\life-flow-main\backup\web\settings\style.css                | CSS                |          0 |          0 |          1 |          1 |
| c:\Users\LWSte\Documents\GitHub\LifeFlowDring\life-flow-main\backup\web\style.css                         | CSS                |          9 |          1 |          2 |         12 |
| c:\Users\LWSte\Documents\GitHub\LifeFlowDring\life-flow-main\backup\windows_no_gpio.py                    | Python             |         37 |          2 |         10 |         49 |
| c:\Users\LWSte\Documents\GitHub\LifeFlowDring\life-flow-main\key.json                                     | JSON               |          3 |          0 |          1 |          4 |
| c:\Users\LWSte\Documents\GitHub\LifeFlowDring\life-flow-main\lflowalerts.py                               | Python             |         67 |          7 |         14 |         88 |
| c:\Users\LWSte\Documents\GitHub\LifeFlowDring\life-flow-main\main.py                                      | Python             |         61 |          3 |         17 |         81 |
| c:\Users\LWSte\Documents\GitHub\LifeFlowDring\life-flow-main\settings.json                                | JSON with Comments |         16 |          0 |          0 |         16 |
| c:\Users\LWSte\Documents\GitHub\LifeFlowDring\life-flow-main\web\about\index.html                         | HTML               |         57 |          1 |         12 |         70 |
| c:\Users\LWSte\Documents\GitHub\LifeFlowDring\life-flow-main\web\about\script.js                          | JavaScript         |          0 |          0 |          1 |          1 |
| c:\Users\LWSte\Documents\GitHub\LifeFlowDring\life-flow-main\web\about\style.css                          | CSS                |         18 |          0 |          1 |         19 |
| c:\Users\LWSte\Documents\GitHub\LifeFlowDring\life-flow-main\web\emergency\countdown.js                   | JavaScript         |         10 |          0 |          1 |         11 |
| c:\Users\LWSte\Documents\GitHub\LifeFlowDring\life-flow-main\web\emergency\emergency.html                 | HTML               |         53 |          1 |          8 |         62 |
| c:\Users\LWSte\Documents\GitHub\LifeFlowDring\life-flow-main\web\emergency\index.html                     | HTML               |         56 |          1 |          8 |         65 |
| c:\Users\LWSte\Documents\GitHub\LifeFlowDring\life-flow-main\web\emergency\script.js                      | JavaScript         |          2 |          0 |          0 |          2 |
| c:\Users\LWSte\Documents\GitHub\LifeFlowDring\life-flow-main\web\emergency\style.css                      | CSS                |         22 |          0 |          0 |         22 |
| c:\Users\LWSte\Documents\GitHub\LifeFlowDring\life-flow-main\web\events.js                                | JavaScript         |          7 |          0 |          1 |          8 |
| c:\Users\LWSte\Documents\GitHub\LifeFlowDring\life-flow-main\web\global\clock.js                          | JavaScript         |         37 |          3 |         11 |         51 |
| c:\Users\LWSte\Documents\GitHub\LifeFlowDring\life-flow-main\web\global\fade\fade.js                      | JavaScript         |         11 |          0 |          2 |         13 |
| c:\Users\LWSte\Documents\GitHub\LifeFlowDring\life-flow-main\web\global\global.css                        | CSS                |        229 |          5 |         25 |        259 |
| c:\Users\LWSte\Documents\GitHub\LifeFlowDring\life-flow-main\web\global\keyboard\keyboard.js              | JavaScript         |        194 |          9 |         48 |        251 |
| c:\Users\LWSte\Documents\GitHub\LifeFlowDring\life-flow-main\web\global\rotatingwelcome.js                | JavaScript         |         19 |          1 |          3 |         23 |
| c:\Users\LWSte\Documents\GitHub\LifeFlowDring\life-flow-main\web\home\index.html                          | HTML               |         56 |          1 |         13 |         70 |
| c:\Users\LWSte\Documents\GitHub\LifeFlowDring\life-flow-main\web\home\script.js                           | JavaScript         |          0 |          0 |          1 |          1 |
| c:\Users\LWSte\Documents\GitHub\LifeFlowDring\life-flow-main\web\home\style.css                           | CSS                |         11 |          0 |          0 |         11 |
| c:\Users\LWSte\Documents\GitHub\LifeFlowDring\life-flow-main\web\index.html                               | HTML               |         63 |          0 |         18 |         81 |
| c:\Users\LWSte\Documents\GitHub\LifeFlowDring\life-flow-main\web\load-redirect.html                       | HTML               |         35 |          0 |          7 |         42 |
| c:\Users\LWSte\Documents\GitHub\LifeFlowDring\life-flow-main\web\old.html                                 | HTML               |         56 |          2 |         16 |         74 |
| c:\Users\LWSte\Documents\GitHub\LifeFlowDring\life-flow-main\web\register\final.html                      | HTML               |         49 |          6 |         10 |         65 |
| c:\Users\LWSte\Documents\GitHub\LifeFlowDring\life-flow-main\web\register\index.html                      | HTML               |         62 |          6 |         11 |         79 |
| c:\Users\LWSte\Documents\GitHub\LifeFlowDring\life-flow-main\web\register\script.js                       | JavaScript         |         16 |          1 |          5 |         22 |
| c:\Users\LWSte\Documents\GitHub\LifeFlowDring\life-flow-main\web\register\setup\1.html                    | HTML               |         61 |          0 |         13 |         74 |
| c:\Users\LWSte\Documents\GitHub\LifeFlowDring\life-flow-main\web\register\setup\2.html                    | HTML               |         61 |          0 |         13 |         74 |
| c:\Users\LWSte\Documents\GitHub\LifeFlowDring\life-flow-main\web\register\setup\3.html                    | HTML               |         61 |          0 |         13 |         74 |
| c:\Users\LWSte\Documents\GitHub\LifeFlowDring\life-flow-main\web\register\setup\4.html                    | HTML               |         61 |          0 |         13 |         74 |
| c:\Users\LWSte\Documents\GitHub\LifeFlowDring\life-flow-main\web\register\setup\5.html                    | HTML               |         62 |          0 |         13 |         75 |
| c:\Users\LWSte\Documents\GitHub\LifeFlowDring\life-flow-main\web\register\setup\6.html                    | HTML               |         62 |          0 |         13 |         75 |
| c:\Users\LWSte\Documents\GitHub\LifeFlowDring\life-flow-main\web\register\setup\script.js                 | JavaScript         |          7 |          1 |          1 |          9 |
| c:\Users\LWSte\Documents\GitHub\LifeFlowDring\life-flow-main\web\register\setup\style.css                 | CSS                |         16 |          0 |          1 |         17 |
| c:\Users\LWSte\Documents\GitHub\LifeFlowDring\life-flow-main\web\register\style.css                       | CSS                |         38 |          0 |          0 |         38 |
| c:\Users\LWSte\Documents\GitHub\LifeFlowDring\life-flow-main\web\reminders\index.html                     | HTML               |         68 |          1 |         12 |         81 |
| c:\Users\LWSte\Documents\GitHub\LifeFlowDring\life-flow-main\web\reminders\script.js                      | JavaScript         |         17 |          0 |          4 |         21 |
| c:\Users\LWSte\Documents\GitHub\LifeFlowDring\life-flow-main\web\reminders\style.css                      | CSS                |         55 |          0 |          7 |         62 |
