Date : 2025-04-18 20:50:03
Directory : c:\Users\LWSte\Documents\GitHub\LifeFlowDring
Total : 239 files,  12017 codes, 1000 comments, 2548 blanks, all 15565 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| life-flow-main\backup\web\register                                                                                                                      |         12 |        500 |         14 |         90 |        604 |
| life-flow-main\backup\web\register (Files)                                                                                                              |          4 |        151 |         13 |         22 |        186 |
| life-flow-main\backup\web\register\setup                                                                                                                |          8 |        349 |          1 |         68 |        418 |
| life-flow-main\backup\web\reminders                                                                                                                     |          3 |         92 |          1 |          9 |        102 |
| life-flow-main\backup\web\sensor                                                                                                                        |          7 |        364 |          4 |         51 |        419 |
| life-flow-main\backup\web\sensor (Files)                                                                                                                |          3 |        126 |          1 |         12 |        139 |
| life-flow-main\backup\web\sensor\module                                                                                                                 |          4 |        238 |          3 |         39 |        280 |
| life-flow-main\backup\web\settings                                                                                                                      |         21 |        687 |         75 |        143 |        905 |
| life-flow-main\backup\web\settings (Files)                                                                                                              |          3 |         76 |          8 |         19 |        103 |
| life-flow-main\backup\web\settings\accessibility                                                                                                        |          3 |         75 |          8 |         22 |        105 |
| life-flow-main\backup\web\settings\contacts                                                                                                             |          6 |        230 |         25 |         40 |        295 |
| life-flow-main\backup\web\settings\general                                                                                                              |          3 |         78 |          8 |         22 |        108 |
| life-flow-main\backup\web\settings\info                                                                                                                 |          6 |        228 |         26 |         40 |        294 |
| life-flow-main\web                                                                                                                                      |         71 |      3,117 |        144 |        591 |      3,852 |
| life-flow-main\web (Files)                                                                                                                              |          6 |        185 |          5 |         49 |        239 |
| life-flow-main\web\about                                                                                                                                |          3 |         75 |          1 |         14 |         90 |
| life-flow-main\web\emergency                                                                                                                            |          5 |        163 |          6 |         21 |        190 |
| life-flow-main\web\global                                                                                                                               |          5 |        490 |         18 |         89 |        597 |
| life-flow-main\web\global (Files)                                                                                                                       |          3 |        285 |          9 |         39 |        333 |
| life-flow-main\web\global\fade                                                                                                                          |          1 |         11 |          0 |          2 |         13 |
| life-flow-main\web\global\keyboard                                                                                                                      |          1 |        194 |          9 |         48 |        251 |
| life-flow-main\web\home                                                                                                                                 |          3 |         67 |          1 |         14 |         82 |
| life-flow-main\web\register                                                                                                                             |         13 |        557 |         14 |        106 |        677 |
| life-flow-main\web\register (Files)                                                                                                                     |          1 |          1 |          0 |          0 |          1 |
| life-flow-main\web\register\setup_old                                                                                                                   |         12 |        556 |         14 |        106 |        676 |
| life-flow-main\web\register\setup_old (Files)                                                                                                           |          4 |        165 |         13 |         26 |        204 |
| life-flow-main\web\register\setup_old\setup                                                                                                             |          8 |        391 |          1 |         80 |        472 |
| life-flow-main\web\reminders                                                                                                                            |          7 |        338 |          3 |         65 |        406 |
| life-flow-main\web\reminders (Files)                                                                                                                    |          3 |        140 |          1 |         23 |        164 |
| life-flow-main\web\reminders\sub                                                                                                                        |          4 |        198 |          2 |         42 |        242 |
| life-flow-main\web\sensor                                                                                                                               |          8 |        453 |         19 |         72 |        544 |
| life-flow-main\web\sensor (Files)                                                                                                                       |          3 |        156 |          1 |         20 |        177 |
| life-flow-main\web\sensor\module                                                                                                                        |          5 |        297 |         18 |         52 |        367 |
| life-flow-main\web\settings                                                                                                                             |         21 |        789 |         77 |        161 |      1,027 |
| life-flow-main\web\settings (Files)                                                                                                                     |          3 |         83 |          8 |         21 |        112 |
| life-flow-main\web\settings\accessibility                                                                                                               |          3 |         82 |          8 |         24 |        114 |
| life-flow-main\web\settings\contacts                                                                                                                    |          6 |        266 |         26 |         47 |        339 |
| life-flow-main\web\settings\general                                                                                                                     |          3 |         90 |          9 |         24 |        123 |
| life-flow-main\web\settings\info                                                                                                                        |          6 |        268 |         26 |         45 |        339 |
| life-flow-staff-portal                                                                                                                                  |         30 |      2,477 |        262 |        644 |      3,383 |
| life-flow-staff-portal (Files)                                                                                                                          |          6 |        636 |         32 |        132 |        800 |
| life-flow-staff-portal-android                                                                                                                          |         26 |      1,199 |        110 |         56 |      1,365 |
| life-flow-staff-portal-android (Files)                                                                                                                  |          2 |         42 |         47 |         22 |        111 |
| life-flow-staff-portal-android\.idea                                                                                                                    |          6 |        612 |          0 |          0 |        612 |
| life-flow-staff-portal-android\app                                                                                                                      |         17 |        540 |         62 |         33 |        635 |
| life-flow-staff-portal-android\app\src                                                                                                                  |         17 |        540 |         62 |         33 |        635 |
| life-flow-staff-portal-android\app\src\androidTest                                                                                                      |          1 |         15 |          6 |          5 |         26 |
| life-flow-staff-portal-android\app\src\androidTest\java                                                                                                 |          1 |         15 |          6 |          5 |         26 |
| life-flow-staff-portal-android\app\src\androidTest\java\com                                                                                             |          1 |         15 |          6 |          5 |         26 |
| life-flow-staff-portal-android\app\src\androidTest\java\com\example                                                                                     |          1 |         15 |          6 |          5 |         26 |
| life-flow-staff-portal-android\app\src\androidTest\java\com\example\lifeflow                                                                            |          1 |         15 |          6 |          5 |         26 |
| life-flow-staff-portal-android\app\src\main                                                                                                             |         15 |        516 |         51 |         25 |        592 |
| life-flow-staff-portal-android\app\src\main (Files)                                                                                                     |          1 |         25 |          0 |          4 |         29 |
| life-flow-staff-portal-android\app\src\main\java                                                                                                        |          1 |         60 |         14 |         14 |         88 |
| life-flow-staff-portal-android\app\src\main\java\com                                                                                                    |          1 |         60 |         14 |         14 |         88 |
| life-flow-staff-portal-android\app\src\main\java\com\example                                                                                            |          1 |         60 |         14 |         14 |         88 |
| life-flow-staff-portal-android\app\src\main\java\com\example\lifeflow                                                                                   |          1 |         60 |         14 |         14 |         88 |
| life-flow-staff-portal-android\app\src\main\res                                                                                                         |         13 |        431 |         37 |          7 |        475 |
| life-flow-staff-portal-android\app\src\main\res\drawable                                                                                                |          2 |        329 |          0 |          2 |        331 |
| life-flow-staff-portal-android\app\src\main\res\layout                                                                                                  |          1 |         39 |          3 |          4 |         46 |
| life-flow-staff-portal-android\app\src\main\res\mipmap-anydpi-v26                                                                                       |          2 |         10 |          0 |          0 |         10 |
| life-flow-staff-portal-android\app\src\main\res\values                                                                                                  |          4 |         28 |          5 |          0 |         33 |
| life-flow-staff-portal-android\app\src\main\res\values-night                                                                                            |          1 |         11 |          5 |          0 |         16 |
| life-flow-staff-portal-android\app\src\main\res\xml                                                                                                     |          3 |         14 |         24 |          1 |         39 |
| life-flow-staff-portal-android\app\src\test                                                                                                             |          1 |          9 |          5 |          3 |         17 |
| life-flow-staff-portal-android\app\src\test\java                                                                                                        |          1 |          9 |          5 |          3 |         17 |
| life-flow-staff-portal-android\app\src\test\java\com                                                                                                    |          1 |          9 |          5 |          3 |         17 |
| life-flow-staff-portal-android\app\src\test\java\com\example                                                                                            |          1 |          9 |          5 |          3 |         17 |
| life-flow-staff-portal-android\app\src\test\java\com\example\lifeflow                                                                                   |          1 |          9 |          5 |          3 |         17 |
| life-flow-staff-portal-android\gradle                                                                                                                   |          1 |          5 |          1 |          1 |          7 |
| life-flow-staff-portal-android\gradle\wrapper                                                                                                           |          1 |          5 |          1 |          1 |          7 |
| life-flow-staff-portal\apache                                                                                                                           |          1 |        279 |         18 |         72 |        369 |
| life-flow-staff-portal\api                                                                                                                              |          3 |        140 |         51 |         45 |        236 |
| life-flow-staff-portal\badges                                                                                                                           |          6 |        328 |         55 |        103 |        486 |
| life-flow-staff-portal\badges (Files)                                                                                                                   |          1 |         74 |          4 |         31 |        109 |
| life-flow-staff-portal\badges\create                                                                                                                    |          2 |        100 |         17 |         31 |        148 |
| life-flow-staff-portal\badges\delete                                                                                                                    |          1 |         31 |         11 |         10 |         52 |
| life-flow-staff-portal\badges\edit                                                                                                                      |          2 |        123 |         23 |         31 |        177 |
| life-flow-staff-portal\hubs                                                                                                                             |          6 |        336 |         49 |        104 |        489 |
| life-flow-staff-portal\hubs (Files)                                                                                                                     |          1 |         75 |          4 |         31 |        110 |
| life-flow-staff-portal\hubs\create                                                                                                                      |          2 |        103 |         15 |         31 |        149 |
| life-flow-staff-portal\hubs\delete                                                                                                                      |          1 |         31 |         11 |         10 |         52 |
| life-flow-staff-portal\hubs\edit                                                                                                                        |          2 |        127 |         19 |         32 |        178 |
| life-flow-staff-portal\images                                                                                                                           |          1 |        154 |          1 |          2 |        157 |
| life-flow-staff-portal\incidents                                                                                                                        |          3 |        256 |         29 |         73 |        358 |
| life-flow-staff-portal\incidents (Files)                                                                                                                |          1 |        156 |         20 |         53 |        229 |
| life-flow-staff-portal\incidents\create                                                                                                                 |          2 |        100 |          9 |         20 |        129 |
| life-flow-staff-portal\residents                                                                                                                        |          3 |        168 |         17 |         52 |        237 |
| life-flow-staff-portal\residents (Files)                                                                                                                |          1 |         73 |          5 |         33 |        111 |
| life-flow-staff-portal\residents\create                                                                                                                 |          2 |         95 |         12 |         19 |        126 |
| life-flow-staff-portal\stats                                                                                                                            |          1 |        180 |         10 |         61 |        251 |
+---------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+---------------------------------------------------------------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| filename                                                                                                                                                | language           | code       | comment    | blank      | total      |
+---------------------------------------------------------------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| c:\Users\LWSte\Documents\GitHub\LifeFlowDring\Interface\main.py                                                                                         | Python             |         18 |          6 |          8 |         32 |
| c:\Users\LWSte\Documents\GitHub\LifeFlowDring\README.md                                                                                                 | Markdown           |        111 |          0 |         24 |        135 |
| c:\Users\LWSte\Documents\GitHub\LifeFlowDring\life-flow-badge\WIFI_CONFIG.py                                                                            | Python             |          4 |          0 |          1 |          5 |
| c:\Users\LWSte\Documents\GitHub\LifeFlowDring\life-flow-badge\accelerometer.py                                                                          | Python             |         30 |          8 |         12 |         50 |
| c:\Users\LWSte\Documents\GitHub\LifeFlowDring\life-flow-badge\examples\badge.py                                                                         | Python             |         98 |         33 |         39 |        170 |
| c:\Users\LWSte\Documents\GitHub\LifeFlowDring\life-flow-badge\examples\clock.py                                                                         | Python             |        163 |          3 |         58 |        224 |
| c:\Users\LWSte\Documents\GitHub\LifeFlowDring\life-flow-badge\examples\ebook.py                                                                         | Python             |        159 |         40 |         50 |        249 |
| c:\Users\LWSte\Documents\GitHub\LifeFlowDring\life-flow-badge\examples\emergency.py                                                                     | Python             |         60 |          5 |         26 |         91 |
| c:\Users\LWSte\Documents\GitHub\LifeFlowDring\life-flow-badge\examples\fonts.py                                                                         | Python             |         86 |         18 |         31 |        135 |
| c:\Users\LWSte\Documents\GitHub\LifeFlowDring\life-flow-badge\examples\help.py                                                                          | Python             |         30 |          3 |         10 |         43 |
| c:\Users\LWSte\Documents\GitHub\LifeFlowDring\life-flow-badge\examples\image.py                                                                         | Python             |         70 |          5 |         28 |        103 |
| c:\Users\LWSte\Documents\GitHub\LifeFlowDring\life-flow-badge\examples\info.py                                                                          | Python             |         32 |          3 |         11 |         46 |
| c:\Users\LWSte\Documents\GitHub\LifeFlowDring\life-flow-badge\examples\list.py                                                                          | Python             |        220 |         37 |         60 |        317 |
| c:\Users\LWSte\Documents\GitHub\LifeFlowDring\life-flow-badge\examples\net_info.py                                                                      | Python             |         35 |          5 |         10 |         50 |
| c:\Users\LWSte\Documents\GitHub\LifeFlowDring\life-flow-badge\examples\news.py                                                                          | Python             |        155 |         12 |         48 |        215 |
| c:\Users\LWSte\Documents\GitHub\LifeFlowDring\life-flow-badge\examples\qrgen.py                                                                         | Python             |        124 |          8 |         34 |        166 |
| c:\Users\LWSte\Documents\GitHub\LifeFlowDring\life-flow-badge\examples\weather.py                                                                       | Python             |         70 |         15 |         23 |        108 |
| c:\Users\LWSte\Documents\GitHub\LifeFlowDring\life-flow-badge\launcher.py                                                                               | Python             |        144 |          5 |         43 |        192 |
| c:\Users\LWSte\Documents\GitHub\LifeFlowDring\life-flow-badge\main.py                                                                                   | Python             |          1 |          1 |          0 |          2 |
| c:\Users\LWSte\Documents\GitHub\LifeFlowDring\life-flow-badge\state\ebook.json                                                                          | JSON               |          1 |          0 |          0 |          1 |
| c:\Users\LWSte\Documents\GitHub\LifeFlowDring\life-flow-badge\state\fall_detection.json                                                                 | JSON               |          1 |          0 |          0 |          1 |
| c:\Users\LWSte\Documents\GitHub\LifeFlowDring\life-flow-badge\state\fonts.json                                                                          | JSON               |          1 |          0 |          0 |          1 |
| c:\Users\LWSte\Documents\GitHub\LifeFlowDring\life-flow-badge\state\image.json                                                                          | JSON               |          1 |          0 |          0 |          1 |
| c:\Users\LWSte\Documents\GitHub\LifeFlowDring\life-flow-badge\state\launcher.json                                                                       | JSON               |          1 |          0 |          0 |          1 |
| c:\Users\LWSte\Documents\GitHub\LifeFlowDring\life-flow-badge\state\list.json                                                                           | JSON               |          1 |          0 |          0 |          1 |
| c:\Users\LWSte\Documents\GitHub\LifeFlowDring\life-flow-badge\state\news.json                                                                           | JSON               |          1 |          0 |          0 |          1 |
| c:\Users\LWSte\Documents\GitHub\LifeFlowDring\life-flow-badge\state\qrcodes.json                                                                        | JSON               |          1 |          0 |          0 |          1 |
| c:\Users\LWSte\Documents\GitHub\LifeFlowDring\life-flow-badge\test.py                                                                                   | Python             |        144 |         17 |         44 |        205 |
| c:\Users\LWSte\Documents\GitHub\LifeFlowDring\life-flow-main\GPIO\gpio.py                                                                               | Python             |         60 |         13 |         18 |         91 |
| c:\Users\LWSte\Documents\GitHub\LifeFlowDring\life-flow-main\README.md                                                                                  | Markdown           |         24 |          0 |         12 |         36 |
| c:\Users\LWSte\Documents\GitHub\LifeFlowDring\life-flow-main\Sensor_Heart.py                                                                            | Python             |         24 |          2 |          8 |         34 |
| c:\Users\LWSte\Documents\GitHub\LifeFlowDring\life-flow-main\Sensor_Temperature.py                                                                      | Python             |         17 |          0 |          7 |         24 |
| c:\Users\LWSte\Documents\GitHub\LifeFlowDring\life-flow-main\backup\GPIO\gpio.py                                                                        | Python             |         60 |         13 |         18 |         91 |
| c:\Users\LWSte\Documents\GitHub\LifeFlowDring\life-flow-main\backup\README.md                                                                           | Markdown           |          2 |          0 |          2 |          4 |
| c:\Users\LWSte\Documents\GitHub\LifeFlowDring\life-flow-main\backup\key.json                                                                            | JSON               |          3 |          0 |          1 |          4 |
| c:\Users\LWSte\Documents\GitHub\LifeFlowDring\life-flow-main\backup\lflowalerts.py                                                                      | Python             |         67 |          7 |         14 |         88 |
| c:\Users\LWSte\Documents\GitHub\LifeFlowDring\life-flow-main\backup\main.py                                                                             | Python             |         68 |          6 |         20 |         94 |
| c:\Users\LWSte\Documents\GitHub\LifeFlowDring\life-flow-main\backup\settings.json                                                                       | JSON with Comments |         12 |          0 |          0 |         12 |
| c:\Users\LWSte\Documents\GitHub\LifeFlowDring\life-flow-main\backup\web\about\index.html                                                                | HTML               |         49 |          1 |          5 |         55 |
| c:\Users\LWSte\Documents\GitHub\LifeFlowDring\life-flow-main\backup\web\about\script.js                                                                 | JavaScript         |          0 |          0 |          1 |          1 |
| c:\Users\LWSte\Documents\GitHub\LifeFlowDring\life-flow-main\backup\web\about\style.css                                                                 | CSS                |         20 |          0 |          1 |         21 |
| c:\Users\LWSte\Documents\GitHub\LifeFlowDring\life-flow-main\backup\web\emergency\countdown.js                                                          | JavaScript         |         10 |          0 |          1 |         11 |
| c:\Users\LWSte\Documents\GitHub\LifeFlowDring\life-flow-main\backup\web\emergency\emergency.html                                                        | HTML               |         46 |          1 |          6 |         53 |
| c:\Users\LWSte\Documents\GitHub\LifeFlowDring\life-flow-main\backup\web\emergency\index.html                                                            | HTML               |         49 |          1 |          6 |         56 |
| c:\Users\LWSte\Documents\GitHub\LifeFlowDring\life-flow-main\backup\web\emergency\script.js                                                             | JavaScript         |          2 |          0 |          0 |          2 |
| c:\Users\LWSte\Documents\GitHub\LifeFlowDring\life-flow-main\backup\web\emergency\style.css                                                             | CSS                |         22 |          0 |          0 |         22 |
| c:\Users\LWSte\Documents\GitHub\LifeFlowDring\life-flow-main\backup\web\events.js                                                                       | JavaScript         |          8 |          0 |          2 |         10 |
| c:\Users\LWSte\Documents\GitHub\LifeFlowDring\life-flow-main\backup\web\global\clock.js                                                                 | JavaScript         |         10 |          3 |          3 |         16 |
| c:\Users\LWSte\Documents\GitHub\LifeFlowDring\life-flow-main\backup\web\global\fade\fade.js                                                             | JavaScript         |         11 |          0 |          2 |         13 |
| c:\Users\LWSte\Documents\GitHub\LifeFlowDring\life-flow-main\backup\web\global\global.css                                                               | CSS                |        215 |          5 |         25 |        245 |
| c:\Users\LWSte\Documents\GitHub\LifeFlowDring\life-flow-main\backup\web\global\keyboard\keyboard.js                                                     | JavaScript         |        194 |          9 |         48 |        251 |
| c:\Users\LWSte\Documents\GitHub\LifeFlowDring\life-flow-main\backup\web\global\rotatingwelcome.js                                                       | JavaScript         |         19 |          1 |          3 |         23 |
| c:\Users\LWSte\Documents\GitHub\LifeFlowDring\life-flow-main\backup\web\home\index.html                                                                 | HTML               |         49 |          1 |         11 |         61 |
| c:\Users\LWSte\Documents\GitHub\LifeFlowDring\life-flow-main\backup\web\home\script.js                                                                  | JavaScript         |          0 |          0 |          1 |          1 |
| c:\Users\LWSte\Documents\GitHub\LifeFlowDring\life-flow-main\backup\web\home\style.css                                                                  | CSS                |         11 |          0 |          0 |         11 |
| c:\Users\LWSte\Documents\GitHub\LifeFlowDring\life-flow-main\backup\web\index.html                                                                      | HTML               |         56 |          0 |         16 |         72 |
| c:\Users\LWSte\Documents\GitHub\LifeFlowDring\life-flow-main\backup\web\load-redirect.html                                                              | HTML               |         28 |          0 |          5 |         33 |
| c:\Users\LWSte\Documents\GitHub\LifeFlowDring\life-flow-main\backup\web\old.html                                                                        | HTML               |         49 |          2 |         14 |         65 |
| c:\Users\LWSte\Documents\GitHub\LifeFlowDring\life-flow-main\backup\web\register\final.html                                                             | HTML               |         42 |          6 |          8 |         56 |
| c:\Users\LWSte\Documents\GitHub\LifeFlowDring\life-flow-main\backup\web\register\index.html                                                             | HTML               |         55 |          6 |          9 |         70 |
| c:\Users\LWSte\Documents\GitHub\LifeFlowDring\life-flow-main\backup\web\register\script.js                                                              | JavaScript         |         16 |          1 |          5 |         22 |
| c:\Users\LWSte\Documents\GitHub\LifeFlowDring\life-flow-main\backup\web\register\setup\1.html                                                           | HTML               |         54 |          0 |         11 |         65 |
| c:\Users\LWSte\Documents\GitHub\LifeFlowDring\life-flow-main\backup\web\register\setup\2.html                                                           | HTML               |         54 |          0 |         11 |         65 |
| c:\Users\LWSte\Documents\GitHub\LifeFlowDring\life-flow-main\backup\web\register\setup\3.html                                                           | HTML               |         54 |          0 |         11 |         65 |
| c:\Users\LWSte\Documents\GitHub\LifeFlowDring\life-flow-main\backup\web\register\setup\4.html                                                           | HTML               |         54 |          0 |         11 |         65 |
| c:\Users\LWSte\Documents\GitHub\LifeFlowDring\life-flow-main\backup\web\register\setup\5.html                                                           | HTML               |         55 |          0 |         11 |         66 |
| c:\Users\LWSte\Documents\GitHub\LifeFlowDring\life-flow-main\backup\web\register\setup\6.html                                                           | HTML               |         55 |          0 |         11 |         66 |
| c:\Users\LWSte\Documents\GitHub\LifeFlowDring\life-flow-main\backup\web\register\setup\script.js                                                        | JavaScript         |          7 |          1 |          1 |          9 |
| c:\Users\LWSte\Documents\GitHub\LifeFlowDring\life-flow-main\backup\web\register\setup\style.css                                                        | CSS                |         16 |          0 |          1 |         17 |
| c:\Users\LWSte\Documents\GitHub\LifeFlowDring\life-flow-main\backup\web\register\style.css                                                              | CSS                |         38 |          0 |          0 |         38 |
| c:\Users\LWSte\Documents\GitHub\LifeFlowDring\life-flow-main\backup\web\reminders\index.html                                                            | HTML               |         72 |          1 |          7 |         80 |
| c:\Users\LWSte\Documents\GitHub\LifeFlowDring\life-flow-main\backup\web\reminders\script.js                                                             | JavaScript         |          0 |          0 |          1 |          1 |
| c:\Users\LWSte\Documents\GitHub\LifeFlowDring\life-flow-main\backup\web\reminders\style.css                                                             | CSS                |         20 |          0 |          1 |         21 |
| c:\Users\LWSte\Documents\GitHub\LifeFlowDring\life-flow-main\backup\web\script.js                                                                       | JavaScript         |          0 |          0 |          1 |          1 |
| c:\Users\LWSte\Documents\GitHub\LifeFlowDring\life-flow-main\backup\web\sensor\index.html                                                               | HTML               |         58 |          1 |          6 |         65 |
| c:\Users\LWSte\Documents\GitHub\LifeFlowDring\life-flow-main\backup\web\sensor\module\s-heart.html                                                      | HTML               |         63 |          1 |          9 |         73 |
| c:\Users\LWSte\Documents\GitHub\LifeFlowDring\life-flow-main\backup\web\sensor\module\s-oxygen.html                                                     | HTML               |         63 |          1 |          9 |         73 |
| c:\Users\LWSte\Documents\GitHub\LifeFlowDring\life-flow-main\backup\web\sensor\module\s-temp.html                                                       | HTML               |         63 |          1 |          9 |         73 |
| c:\Users\LWSte\Documents\GitHub\LifeFlowDring\life-flow-main\backup\web\sensor\module\style.css                                                         | CSS                |         49 |          0 |         12 |         61 |
| c:\Users\LWSte\Documents\GitHub\LifeFlowDring\life-flow-main\backup\web\sensor\script.js                                                                | JavaScript         |          0 |          0 |          1 |          1 |
| c:\Users\LWSte\Documents\GitHub\LifeFlowDring\life-flow-main\backup\web\sensor\style.css                                                                | CSS                |         68 |          0 |          5 |         73 |
| c:\Users\LWSte\Documents\GitHub\LifeFlowDring\life-flow-main\backup\web\settings\accessibility\index.html                                               | HTML               |         47 |          6 |         12 |         65 |
| c:\Users\LWSte\Documents\GitHub\LifeFlowDring\life-flow-main\backup\web\settings\accessibility\script.js                                                | JavaScript         |         28 |          2 |          9 |         39 |
| c:\Users\LWSte\Documents\GitHub\LifeFlowDring\life-flow-main\backup\web\settings\accessibility\style.css                                                | CSS                |          0 |          0 |          1 |          1 |
| c:\Users\LWSte\Documents\GitHub\LifeFlowDring\life-flow-main\backup\web\settings\contacts\1.html                                                        | HTML               |         51 |          6 |          8 |         65 |
| c:\Users\LWSte\Documents\GitHub\LifeFlowDring\life-flow-main\backup\web\settings\contacts\2.html                                                        | HTML               |         51 |          6 |          8 |         65 |
| c:\Users\LWSte\Documents\GitHub\LifeFlowDring\life-flow-main\backup\web\settings\contacts\3.html                                                        | HTML               |         51 |          6 |          8 |         65 |
| c:\Users\LWSte\Documents\GitHub\LifeFlowDring\life-flow-main\backup\web\settings\contacts\index.html                                                    | HTML               |         56 |          6 |         10 |         72 |
| c:\Users\LWSte\Documents\GitHub\LifeFlowDring\life-flow-main\backup\web\settings\contacts\script.js                                                     | JavaScript         |         15 |          1 |          6 |         22 |
| c:\Users\LWSte\Documents\GitHub\LifeFlowDring\life-flow-main\backup\web\settings\contacts\style.css                                                     | CSS                |          6 |          0 |          0 |          6 |
| c:\Users\LWSte\Documents\GitHub\LifeFlowDring\life-flow-main\backup\web\settings\general\index.html                                                     | HTML               |         46 |          6 |         11 |         63 |
| c:\Users\LWSte\Documents\GitHub\LifeFlowDring\life-flow-main\backup\web\settings\general\script.js                                                      | JavaScript         |         32 |          2 |         10 |         44 |
| c:\Users\LWSte\Documents\GitHub\LifeFlowDring\life-flow-main\backup\web\settings\general\style.css                                                      | CSS                |          0 |          0 |          1 |          1 |
| c:\Users\LWSte\Documents\GitHub\LifeFlowDring\life-flow-main\backup\web\settings\index.html                                                             | HTML               |         49 |          6 |         11 |         66 |
| c:\Users\LWSte\Documents\GitHub\LifeFlowDring\life-flow-main\backup\web\settings\info\1.html                                                            | HTML               |         51 |          6 |          8 |         65 |
| c:\Users\LWSte\Documents\GitHub\LifeFlowDring\life-flow-main\backup\web\settings\info\2.html                                                            | HTML               |         51 |          6 |          8 |         65 |
| c:\Users\LWSte\Documents\GitHub\LifeFlowDring\life-flow-main\backup\web\settings\info\3.html                                                            | HTML               |         51 |          6 |          8 |         65 |
| c:\Users\LWSte\Documents\GitHub\LifeFlowDring\life-flow-main\backup\web\settings\info\index.html                                                        | HTML               |         56 |          7 |         11 |         74 |
| c:\Users\LWSte\Documents\GitHub\LifeFlowDring\life-flow-main\backup\web\settings\info\script.js                                                         | JavaScript         |         16 |          1 |          5 |         22 |
| c:\Users\LWSte\Documents\GitHub\LifeFlowDring\life-flow-main\backup\web\settings\info\style.css                                                         | CSS                |          3 |          0 |          0 |          3 |
| c:\Users\LWSte\Documents\GitHub\LifeFlowDring\life-flow-main\backup\web\settings\script.js                                                              | JavaScript         |         27 |          2 |          7 |         36 |
| c:\Users\LWSte\Documents\GitHub\LifeFlowDring\life-flow-main\backup\web\settings\style.css                                                              | CSS                |          0 |          0 |          1 |          1 |
